City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Mayo,US,2021-05-24 17:01:57,38.8876,-76.5119,68.11,65,100,7.0
226,Honningsvag,NO,2021-05-24 17:01:57,70.9821,25.9704,38.77,70,18,13.38
227,Boyolangu,ID,2021-05-24 17:01:58,-8.1181,111.8935,76.06,93,79,4.0
228,Nakamura,JP,2021-05-24 17:01:58,32.9833,132.9333,59.56,97,76,5.23
229,Damara,CF,2021-05-24 17:01:58,4.9608,18.7035,82.65,61,51,3.29
230,Nome,US,2021-05-24 17:01:59,64.5011,-165.4064,52.16,54,41,9.51
231,Machacamarca,BO,2021-05-24 17:01:59,-18.1667,-67.0333,56.89,28,99,10.18
232,Mahon,ES,2021-05-24 17:01:59,39.8885,4.2658,66.76,63,20,8.05
233,Athabasca,CA,2021-05-24 16:59:39,54.7169,-113.2854,58.69,72,100,13.65
234,Qandala,SO,2021-05-24 17:02:00,11.472,49.8728,86.9,67,5,1.68
235,Conceicao Do Araguaia,BR,2021-05-24 17:02:00,-8.2578,-49.2647,92.03,43,28,5.26
236,Faya,SA,2021-05-24 17:02:00,18.3851,42.4509,71.1,31,17,7.31
237,Margate,GB,2021-05-24 17:02:01,51.3813,1.3862,57.74,58,82,4.0
238,Aksarka,RU,2021-05-24 17:02:01,66.5606,67.7975,41.38,44,73,7.45
239,Axim,GH,2021-05-24 17:02:02,4.8699,-2.2405,84.27,69,54,10.33
240,Garowe,SO,2021-05-24 17:02:02,8.4054,48.4845,82.94,50,72,24.67
241,Siderno,IT,2021-05-24 17:02:02,38.2779,16.302,76.89,65,0,3.65
242,Atar,MR,2021-05-24 17:02:03,20.5169,-13.0499,106.52,11,1,13.18
243,Mantua,IT,2021-05-24 17:02:03,45.1667,10.7833,59.74,94,100,7.61
244,Pokhara,NP,2021-05-24 17:02:03,28.2333,83.9833,75.42,45,25,6.8
245,Saint-Pierre,RE,2021-05-24 17:02:04,-21.3393,55.4781,71.28,85,90,13.8
246,Salalah,OM,2021-05-24 17:02:04,17.0151,54.0924,82.11,77,0,5.91
247,Jardim,BR,2021-05-24 17:02:04,-21.4803,-56.1381,79.43,17,67,2.28
248,Agdas,AZ,2021-05-24 17:02:05,40.65,47.4761,85.05,17,92,13.35
249,Berlevag,NO,2021-05-24 17:02:05,70.8578,29.0864,37.2,63,70,8.5
250,Enid,US,2021-05-24 17:00:56,36.3956,-97.8784,75.02,89,90,8.01
251,Shamary,RU,2021-05-24 17:02:06,57.3434,58.2199,64.06,93,66,5.03
252,Faanui,PF,2021-05-24 17:02:06,-16.4833,-151.75,80.46,75,29,6.02
253,Bilma,NE,2021-05-24 17:02:06,18.6853,12.9164,102.24,5,0,7.54
254,Miranda,CO,2021-05-24 17:02:07,3.2499,-76.2281,80.73,63,65,3.8
255,Sumeg,HU,2021-05-24 17:02:07,46.977,17.2821,60.06,83,100,9.13
256,Kozhevnikovo,RU,2021-05-24 17:02:07,56.2589,83.9714,58.24,65,83,4.45
257,Gat,IL,2021-05-24 17:02:08,31.61,34.7642,75.81,60,0,6.51
258,Carutapera,BR,2021-05-24 17:02:08,-1.195,-46.02,86.94,64,100,10.2
259,Yantal,RU,2021-05-24 17:02:08,56.8471,105.2542,43.52,88,100,1.79
260,Port Hedland,AU,2021-05-24 17:02:09,-20.3167,118.5667,77.05,44,72,9.22
261,Pisco,PE,2021-05-24 17:02:09,-13.7,-76.2167,68.02,63,96,5.37
262,Anadyr,RU,2021-05-24 17:02:09,64.75,177.4833,34.5,86,100,11.63
263,Bandiagara,ML,2021-05-24 17:02:10,14.3501,-3.6104,99.23,23,100,3.65
264,New Norfolk,AU,2021-05-24 17:02:10,-42.7826,147.0587,56.75,65,92,1.99
265,Hamilton,US,2021-05-24 17:00:38,39.1834,-84.5333,88.09,52,96,1.99
266,Kuytun,RU,2021-05-24 17:02:10,54.3419,101.5036,48.25,81,100,21.5
267,Talnakh,RU,2021-05-24 17:02:11,69.4865,88.3972,31.59,97,100,15.08
268,Bac Lieu,VN,2021-05-24 17:02:11,9.285,105.7244,79.34,84,100,9.42
269,Vulcan,RO,2021-05-24 17:02:11,45.3833,23.2667,60.69,71,83,3.78
270,Nuevo Casas Grandes,MX,2021-05-24 17:02:12,30.4167,-107.9167,79.75,15,0,1.99
271,Codrington,AU,2021-05-24 17:02:12,-38.2667,141.9667,66.25,48,100,22.97
272,Sembe,CG,2021-05-24 17:02:12,1.6481,14.5806,80.56,71,57,1.86
